"Title","Last update","Geolocation","Main location","Action area","twitter account","website","Post date"
"CloudNC","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://cloudnc.com/","2018-02-05"
"CrowdVision","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.crowdvision.com/","2018-02-05"
"ABAKA","2018-12-23","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","http://www.abaka.me/","2018-02-05"
"ANDi","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://get-andi.com/","2018-02-05"
"Cleo","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.meetcleo.com/","2018-02-05"
"Echo Box","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.echobox.com/","2018-02-05"
"LifeTracker","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://lifetracker.io/","2018-02-05"
"Oval Money","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.ovalmoney.com/","2018-02-05"
"rais","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://rais.io/","2018-02-05"
"WealRo","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.wealro.com/","2018-02-05"
"Calipsa","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://calipsa.io/","2018-02-05"
"Chatterbox Labs","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://chatterbox.co/","2018-02-05"
"Cortexica","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.cortexica.com/","2018-02-05"
"IntelligentX","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://intelligentx.ai/","2018-02-05"
"RotaGeek","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.rotageek.com/","2018-02-05"
"Headstart App","2018-02-05","POINT (-1.2577263 51.7520209)","","Analytics, AI/Machine learning","","https://www.headstartapp.com/","2018-02-05"
"MeVitae","2018-02-05","POINT (-1.2577263 51.7520209)","","Analytics, AI/Machine learning","","http://mevitae.com/","2018-02-05"
"Baro Vehicles","2018-02-05","POINT (-1.465382 52.520489)","","Analytics, AI/Machine learning","","http://www.barovehicles.com/","2018-02-05"
"Consequential Robotics","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://consequentialrobotics.com/","2018-02-05"
"Emote Robotics","2018-02-05","POINT (-3.019423 51.825366)","","Analytics, AI/Machine learning","","http://www.emoterobotics.com/","2018-02-05"
"Emotech","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://www.heyolly.com/","2018-02-05"
"Machines With Vision","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.machineswithvision.com/","2018-02-05"
"Adnow","2019-01-18","POINT (-0.1337446 51.5180861)","","Analytics, AI/Machine learning","","https://adnow.com/","2018-02-05"
"Aiden","2019-01-18","POINT (-0.1050653 51.5329912)","","Analytics, AI/Machine learning","","https://www.aiden.ai/","2018-02-05"
"Artios","2019-01-21","POINT (-0.3045269 51.4616902)","","Analytics, AI/Machine learning","","https://artios.io/","2018-02-05"
"Beepal","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://beepal.co.uk/","2018-02-05"
"Codec","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.codec.ai/","2018-02-05"
"Cognism","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.cognism.com/","2018-02-05"
"Concured","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://concured.com/","2018-02-05"
"Crystal","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://crystal.io/","2018-02-05"
"Gyana","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","http://www.gyana.space/","2018-02-05"
"Kluster Intelligence","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://kluster.com","2018-02-05"
"LoopMe","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://loopme.com/","2018-02-05"
"Phrasee","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://phrasee.co/","2018-02-05"
"Twizoo","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://www.twizoo.com/","2018-02-05"
"Viewsy","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.viewsy.com/","2018-02-05"
"Aesthetic Integration","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://www.imandra.ai/","2018-02-05"
"CheckReipient","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.checkrecipient.com/","2018-02-05"
"Cybertonica","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.cybertonica.com/","2018-02-05"
"Fraud","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://fraugster.com/","2018-02-05"
"StatusToday","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.statustoday.com/","2018-02-05"
"Trudera","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.trudera.com/","2018-02-05"
"Bottr","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://bottr.co/","2018-02-05"
"Existor","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.existor.com/","2018-02-05"
"Firedrop","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://firedrop.ai/","2018-02-05"
"PROWLER.io","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.prowler.io/","2018-02-05"
"DigitalBridge","2018-02-05","POINT (-2.2426305 53.4807593)","","Analytics, AI/Machine learning","","http://www.digitalbridge.eu/","2018-02-05"
"Jukedeck","2018-02-05","POINT (-0.1277583 51.5073509)","","Vertical applications","Jukedeck","https://www.jukedeck.com/","2018-02-05"
"Metadrift","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://metadrift.io/","2018-02-05"
"Digital Genius","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.digitalgenius.com/","2018-02-05"
"Idio","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.idioplatform.com/","2018-02-05"
"Mercanto","2018-05-23","POINT (-0.0181378 51.5042401)","","Analytics, AI/Machine learning","","https://mercanto.app/","2018-02-05"
"Resolver","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://www.resolver.co.uk/","2018-02-05"
"True AI","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.trueai.io/","2018-02-05"
"Velmai","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.velmai.com/","2018-02-05"
"Analytics Intelligenve","2019-01-21","POINT (-0.0194504 51.504954)","","Analytics, AI/Machine learning","","http://analyticsintelligence.com/","2018-02-05"
"Anumerics","2018-02-05","POINT (-1.2577263 51.7520209)","","Analytics, AI/Machine learning","","http://anumerics.com/","2018-02-05"
"Applied AI","2019-01-21","POINT (-0.0888792 51.5272719)","","Analytics, AI/Machine learning","","http://applied.ai/","2018-02-05"
"Aria Networks","2019-01-21","POINT (-2.366861 51.378424)","","Analytics, AI/Machine learning","","http://www.aria-networks.com","2018-02-05"
"Behavox","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.behavox.com/","2018-02-05"
"Braintree","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://braintree.com/","2018-02-05"
"Buzzradar","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.buzzradar.com/","2018-02-05"
"Celaton","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.celaton.com/instream","2018-02-05"
"Chattermill","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://chattermill.io/","2018-02-05"
"ForecastThis","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.forecastthis.com/","2018-02-05"
"Grakn","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://grakn.ai/","2018-02-05"
"Illumr","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://illumr.com/","2018-02-05"
